Price,Item,Max,ID
21.23,Backpack,2,22
9.87,Chick-Fil-A Combo,30,13
3.99,Einsteins Bagals,30,15
3.99,El Sazon Minero Burrito,30,16
4.87,Grande Vanilla Iced Latte,30,1
4.99,Highlighters,30,20
100.00,Large Textbook,3,5
2100.00,Macbook Pro,2,11
50.00,Medium Textbook,5,4
1.25,Notebook,30,17
200.00,Parking Permit A,1,6
250.00,Parking Permit B,1,7
300.00,Parking Permit C,1,8
3.99,Pen,30,19
2.99,Pencil,30,18
10.87,Pick N Shovel Meal,30,12
4.50,Post-It Notes,30,21
60.2,Random Item 1,30,23
5.34,Random Item 10,30,32
23.56,Random Item 11,30,33
48.23,Random Item 12,30,34
52.23,Random Item 13,30,35
38.84,Random Item 14,30,36
13.82,Random Item 15,30,37
17.04,Random Item 16,30,38
30.75,Random Item 17,30,39
95.67,Random Item 18,30,40
51.56,Random Item 19,30,41
93.92,Random Item 2,30,24
65.92,Random Item 20,30,42
98.36,Random Item 21,30,43
65.99,Random Item 22,30,44
28.58,Random Item 23,30,45
20.44,Random Item 24,30,46
90.24,Random Item 25,10,47
34.23,Random Item 26,10,48
12.25,Random Item 27,10,49
51.74,Random Item 28,10,50
36.19,Random Item 29,10,51
8.74,Random Item 3,30,25
60.44,Random Item 30,10,52
53.22,Random Item 31,10,53
3.37,Random Item 32,10,54
11.41,Random Item 33,10,55
60.83,Random Item 34,10,56
24.71,Random Item 35,10,57
12.32,Random Item 36,10,58
85.78,Random Item 37,10,59
32.33,Random Item 38,10,60
91.15,Random Item 39,10,61
65.2,Random Item 4,30,26
63.71,Random Item 40,10,62
94.07,Random Item 41,10,63
7.36,Random Item 42,10,64
69.31,Random Item 43,10,65
13.45,Random Item 44,10,66
72.89,Random Item 45,10,67
16.86,Random Item 46,10,68
55.55,Random Item 47,10,69
88.19,Random Item 48,10,70
88.31,Random Item 49,10,71
68.67,Random Item 5,30,27
91.08,Random Item 50,10,72
85.02,Random Item 51,10,73
64.45,Random Item 52,10,74
34.65,Random Item 53,10,75
31.13,Random Item 54,10,76
85.68,Random Item 55,10,77
50.18,Random Item 56,10,78
93.53,Random Item 57,10,79
46.01,Random Item 58,10,80
73.76,Random Item 59,10,81
21.54,Random Item 6,30,28
95.85,Random Item 60,10,82
69.89,Random Item 61,10,83
46.23,Random Item 62,5,84
91.3,Random Item 63,5,85
3.68,Random Item 64,5,86
59.95,Random Item 65,5,87
97.81,Random Item 66,5,88
27.29,Random Item 67,5,89
22.25,Random Item 68,5,90
38.62,Random Item 69,5,91
15.63,Random Item 7,30,29
51.21,Random Item 70,5,92
7,Random Item 71,5,93
53.21,Random Item 72,5,94
31.76,Random Item 73,5,95
83.76,Random Item 74,5,96
82.45,Random Item 75,5,97
41.6,Random Item 76,5,98
4.93,Random Item 77,5,99
8.73,Random Item 8,30,30
22.21,Random Item 9,30,31
20.00,Small Textbook,10,3
11.25,Sushi Meal,30,14
13.57,Trenta Shaken Caramel Iced Latte with half Oat Milk and half Almond Milk with 2.5 Pumps of Vanilla and whip,30,2
29.99,UTEP Hoodie,4,9
19.97,UTEP T-Shirt,10,10